init(i1)
action(n1, "Start BUSINESS PROCESS REQUIREMENTS")
action(n2, "Complete BUSINESS PROCESS REQUIREMENTS")
action(n3, "Complete SAP Configuration")
action(n4, "Complete Communications Design")
action(n5, "Complete Learning Design")
action(n6, "Complete Data Conversion Design & Test")
action(n7, "Complete IT Design Development & Functional Test")
action(n8, "Complete Communications Deployment")
action(n9, "Complete Learning Deployment")
action(n10, "Complete Integration Test")
action(n11, "Complete Integration Test")
action(n12, "Complete Deployment")
action(n13, "Complete Deployment")
action(n14, "Complete Deployment")
action(n15, "Enter PRODUCTION SUPPORT phase")
action(n16, "End process")
end(e1)
converge(c1)
converge(c2)
branch(b1, AND)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, e1, c1, c2, b1])

precedence(i1, n1)
precedence(n16, e1)
precedence(c1, n14)
precedence(c2, n15)
precedence(n2, b1)
precedence(n1, n2)
precedence(b1, n3)
precedence(b1, n4)
precedence(b1, n5)
precedence(b1, n6)
precedence(n3, n7)
precedence(n4, n8)
precedence(n5, n9)
precedence(n6, n10)
precedence(n7, n11)
precedence(n8, n12)
precedence(n9, n13)
precedence(n10, c1)
precedence(n11, c1)
precedence(n12, c2)
precedence(n13, c2)
precedence(n14, c2)
precedence(n15, n16)
