init(i1)
action(n1, "BEGIN BUSINESS PROCESS REQUIREMENTS")
action(n2, "SAP Configuration")
action(n3, "Communications Design")
action(n4, "Learning Design")
action(n5, "Data Conversion Design & Test")
action(n6, "IT Design")
action(n7, "Integration Test")
action(n8, "Communications Deployment")
action(n9, "Learning Deployment")
action(n10, "Deployment")
action(n11, "Production Support")
action(n12, "END")
end(e1)
converge(c1)
converge(c2)
branch(b1, AND)
branch(b2, AND)
branch(b3, AND)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, e1, c1, c2, b1, b2, b3])

precedence(i1, n1)
precedence(n12, e1)
precedence(c1, n7)
precedence(c2, n10)
precedence(n2, b1)
precedence(n3, b2)
precedence(n4, b3)
precedence(n1, n2)
precedence(b1, n3)
precedence(b2, n4)
precedence(b3, n5)
precedence(b1, n6)
precedence(n6, c1)
precedence(n5, c1)
precedence(b2, n8)
precedence(b3, n9)
precedence(n7, c2)
precedence(n8, c2)
precedence(n9, c2)
precedence(n10, n11)
precedence(n11, n12)
