action(n1, "start/start")
action(n2, "select and apply filter/entity")
action(n3, "click submit button/entity")
action(n4, "is the option to submit false?/condition")
action(n5, "apply another filter/entity")
action(n6, "click submit again/entity")
action(n7, "check for more filters/condition")
action(n8, "continue with process/entity")
action(n9, "check if submit is true/condition")
action(n10, "end process/entity")
action(n11, "contact support/end")
action(n12, "apply another filter/entity")
action(n13, "click submit again/entity")
action(n14, "check for more filters/condition")
action(n15, "apply another filter/entity")
action(n16, "click submit again/entity")
action(n17, "check if submit is true/condition")
action(n18, "end process/entity")
action(n19, "contact support/end")
action(n20, "final check if submit is true/condition")
action(n21, "end process/entity")
action(n22, "contact support/end")
actor(a_default, "Default", [n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, n17, n18, n19, n20, n21, n22])

