init(i1)
action(n1, "start the procedure")
action(n2, "Business Process Requirements")
action(n3, "SAP Configuration")
action(n4, "Communications Design")
action(n5, "Learning Design")
action(n6, "Data Conversion Design & Test")
action(n7, "IT Design  Development & Functional Test")
action(n8, "Integration Test")
action(n9, "Deployment")
action(n10, "Production Support")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, e1])

precedence(i1, n1)
precedence(n10, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
