init(i1)
action(n1, "start/start/start")
action(n2, "Bill for Purchased Goods/Services/entity")
action(n3, "Receive Invoice/entity")
action(n4, "Is the invoice incomplete?/condition")
action(n5, "Return Invoice: Incomplete/end")
action(n6, "Resubmit Corrected Invoice?/condition")
action(n7, "Receive Resubmitted Invoice/entity")
action(n8, "Re-enter Invoice Review/entity")
action(n9, "Is the invoice compliant?/condition")
action(n10, "Proceed with Invoice Review/entity")
action(n11, "Conduct Further Checks/entity")
action(n12, "Resolve non-compliance via phone call/entity")
action(n13, "Return Invoice: Requires Mail Back/end")
action(n14, "Proceed with Invoice Review/entity")
action(n15, "Pay Invoice/entity")
action(n16, "Bill Client/entity")
action(n17, "Notify Client of Payment/entity")
action(n18, "Is there a response from the client?/condition")
action(n19, "Send Reminder after 10 Days/end")
action(n20, "Wait for 10 Days/entity")
action(n21, "Send Reminder/end")
action(n22, "Resolve Payment Discrepancy/condition")
action(n23, "Process Continues/end")
action(n24, "Escalate Issue if Client Still Unsatisfied/entity")
action(n25, "Contact Support/end")
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, n17, n18, n19, n20, n21, n22, n23, n24, n25])

precedence(i1, n1)
precedence(n10, n19)
