dataset,llm,approach,n_samples
Industry,O4Mini,Baseline,30
Industry,O4Mini,LADEX-ALG-LLM,30
Industry,O4Mini,LADEX-ALG-NA,30
Industry,O4Mini,LADEX-LLM-LLM,30
Industry,O4Mini,LADEX-LLM-NA,30
Industry,gpt41mini,Baseline,30
Industry,gpt41mini,LADEX-ALG-LLM,30
Industry,gpt41mini,LADEX-ALG-NA,30
Industry,gpt41mini,LADEX-LLM-LLM,30
Industry,gpt41mini,LADEX-LLM-NA,30
PAGED,O4Mini,Baseline,27
PAGED,O4Mini,LADEX-ALG-LLM,26
PAGED,O4Mini,LADEX-ALG-NA,27
PAGED,O4Mini,LADEX-LLM-LLM,27
PAGED,O4Mini,LADEX-LLM-NA,27
PAGED,gpt41mini,Baseline,27
PAGED,gpt41mini,LADEX-ALG-LLM,26
PAGED,gpt41mini,LADEX-ALG-NA,27
PAGED,gpt41mini,LADEX-LLM-LLM,26
PAGED,gpt41mini,LADEX-LLM-NA,27
PAGED,local,Baseline,27
PAGED,local,LADEX-ALG-LLM,26
PAGED,local,LADEX-ALG-NA,27
PAGED,local,LADEX-LLM-LLM,26
PAGED,local,LADEX-LLM-NA,27
TOTAL,,,700
