sample_id,dataset,variant,llm,run,original_id
1,Industry,LADEX-ALG-NA,gpt41mini,gpt41mini-5,16
2,Industry,LADEX-ALG-LLM,gpt41mini,gpt41mini-1,4
3,Industry,LADEX-ALG-LLM,O4Mini,O4Mini-5,16
4,Industry,LADEX-ALG-NA,O4Mini,O4Mini-1,3
5,Industry,Baseline,gpt41mini,gpt41mini-3,9
6,Industry,LADEX-ALG-LLM,O4Mini,O4Mini-2,5
7,Industry,LADEX-ALG-LLM,gpt41mini,gpt41mini-1,16
8,Industry,LADEX-ALG-NA,gpt41mini,gpt41mini-4,7
9,Industry,LADEX-LLM-LLM,O4Mini,O4Mini-3,19
10,Industry,LADEX-LLM-LLM,O4Mini,O4Mini-2,11
11,Industry,Baseline,O4Mini,O4Mini-4,17
12,Industry,LADEX-ALG-LLM,O4Mini,O4Mini-2,11
13,Industry,LADEX-LLM-LLM,O4Mini,O4Mini-5,5
14,Industry,LADEX-ALG-NA,gpt41mini,gpt41mini-3,18
15,Industry,LADEX-ALG-NA,O4Mini,O4Mini-4,2
16,Industry,LADEX-LLM-NA,O4Mini,O4Mini-4,16
17,Industry,LADEX-ALG-NA,gpt41mini,gpt41mini-1,21
18,Industry,LADEX-LLM-NA,gpt41mini,gpt41mini-1,8
19,Industry,LADEX-ALG-NA,O4Mini,O4Mini-5,11
20,Industry,LADEX-ALG-NA,gpt41mini,gpt41mini-1,10
21,Industry,LADEX-ALG-NA,O4Mini,O4Mini-3,4
22,Industry,LADEX-LLM-NA,O4Mini,O4Mini-3,6
23,Industry,LADEX-LLM-LLM,O4Mini,O4Mini-5,16
24,Industry,LADEX-LLM-LLM,O4Mini,O4Mini-3,5
25,Industry,LADEX-LLM-LLM,gpt41mini,gpt41mini-4,4
26,Industry,LADEX-LLM-NA,gpt41mini,gpt41mini-3,17
27,Industry,Baseline,gpt41mini,gpt41mini-3,19
28,Industry,LADEX-LLM-LLM,O4Mini,O4Mini-2,1
29,Industry,LADEX-ALG-LLM,O4Mini,O4Mini-2,1
30,Industry,LADEX-ALG-LLM,O4Mini,O4Mini-4,21
31,Industry,LADEX-LLM-NA,gpt41mini,gpt41mini-3,1
32,Industry,Baseline,O4Mini,O4Mini-4,8
33,Industry,LADEX-LLM-LLM,gpt41mini,gpt41mini-1,19
34,Industry,LADEX-ALG-LLM,gpt41mini,gpt41mini-3,6
35,Industry,LADEX-LLM-LLM,O4Mini,O4Mini-1,1
