init(i1)
action(n1, "start at Amazon homepage")
action(n2, "search for a book")
action(n3, "click link that says 22 used")
action(n4, "click add to cart for second book")
action(n5, "click proceed to checkout")
action(n6, "enter email and select I am a new customer")
action(n7, "click sign in using our secure server")
action(n8, "enter customer details and click create account")
action(n9, "enter shipping details and click continue")
action(n10, "select shipping options and click continue")
action(n11, "choose payment method and enter credit card details")
action(n12, "click add your card to save card information")
action(n13, "click continue to proceed")
action(n14, "choose billing address and select use chosen address")
action(n15, "click place your order in AUD")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, e1])

precedence(i1, n1)
precedence(n15, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
precedence(n14, n15)
