sample_id,dataset,variant,llm,run,original_id
1,PAGED,LADEX-LLM-LLM,gpt41mini,gpt41mini-1,1155
2,PAGED,Baseline,O4Mini,O4Mini-1,1019
3,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-4,1120
4,PAGED,Baseline,O4Mini,O4Mini-2,151
5,PAGED,Baseline,gpt41mini,gpt41mini-3,618
6,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-5,1085
7,PAGED,LADEX-ALG-NA,local,local-1,136
8,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-4,470
9,PAGED,LADEX-LLM-LLM,gpt41mini,gpt41mini-3,322
10,PAGED,LADEX-LLM-NA,local,local-3,955
11,PAGED,LADEX-ALG-LLM,O4Mini,O4Mini-2,539
12,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-1,278
13,PAGED,LADEX-ALG-NA,local,local-1,269
14,PAGED,LADEX-ALG-NA,local,local-2,153
15,PAGED,Baseline,local,local-1,776
16,PAGED,LADEX-LLM-LLM,local,local-1,343
17,PAGED,LADEX-ALG-LLM,gpt41mini,gpt41mini-5,990
18,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-5,842
19,PAGED,LADEX-LLM-LLM,gpt41mini,gpt41mini-4,341
20,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-2,1049
21,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-1,1232
22,PAGED,LADEX-ALG-LLM,local,local-4,990
23,PAGED,LADEX-LLM-LLM,gpt41mini,gpt41mini-4,29
24,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-3,1132
25,PAGED,LADEX-ALG-LLM,gpt41mini,gpt41mini-3,884
26,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-2,1186
27,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-2,1121
28,PAGED,LADEX-LLM-LLM,gpt41mini,gpt41mini-5,853
29,PAGED,LADEX-ALG-LLM,local,local-1,1132
30,PAGED,Baseline,gpt41mini,gpt41mini-1,955
31,PAGED,LADEX-ALG-LLM,local,local-1,57
32,PAGED,LADEX-ALG-NA,local,local-2,636
33,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-5,1193
34,PAGED,LADEX-LLM-NA,local,local-1,51
35,PAGED,LADEX-LLM-LLM,local,local-4,1196
36,PAGED,Baseline,O4Mini,O4Mini-1,344
37,PAGED,Baseline,gpt41mini,gpt41mini-5,1146
38,PAGED,Baseline,O4Mini,O4Mini-2,561
39,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-4,848
40,PAGED,LADEX-ALG-LLM,local,local-3,251
41,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-1,1141
42,PAGED,LADEX-ALG-LLM,gpt41mini,gpt41mini-1,643
43,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-5,559
44,PAGED,LADEX-ALG-LLM,gpt41mini,gpt41mini-2,499
45,PAGED,LADEX-LLM-NA,local,local-1,359
46,PAGED,Baseline,gpt41mini,gpt41mini-1,510
47,PAGED,LADEX-ALG-LLM,gpt41mini,gpt41mini-1,322
48,PAGED,Baseline,O4Mini,O4Mini-2,211
49,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-1,803
50,PAGED,LADEX-ALG-LLM,local,local-4,371
51,PAGED,Baseline,O4Mini,O4Mini-1,326
52,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-3,1102
53,PAGED,Baseline,gpt41mini,gpt41mini-1,253
54,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-4,253
55,PAGED,LADEX-LLM-LLM,gpt41mini,gpt41mini-2,883
56,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-4,303
57,PAGED,LADEX-ALG-LLM,local,local-2,1188
58,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-1,229
59,PAGED,LADEX-ALG-LLM,O4Mini,O4Mini-4,916
60,PAGED,LADEX-LLM-NA,local,local-5,28
61,PAGED,LADEX-ALG-LLM,gpt41mini,gpt41mini-2,349
62,PAGED,LADEX-LLM-LLM,gpt41mini,gpt41mini-2,99
63,PAGED,LADEX-LLM-LLM,gpt41mini,gpt41mini-4,561
64,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-1,600
65,PAGED,LADEX-ALG-LLM,gpt41mini,gpt41mini-3,950
66,PAGED,Baseline,local,local-3,303
67,PAGED,LADEX-ALG-NA,local,local-3,962
68,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-5,1047
69,PAGED,Baseline,local,local-1,901
70,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-1,341
71,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-5,258
72,PAGED,Baseline,local,local-1,322
73,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-2,282
74,PAGED,LADEX-ALG-LLM,local,local-4,96
75,PAGED,LADEX-ALG-LLM,local,local-4,411
76,PAGED,LADEX-ALG-NA,local,local-4,584
77,PAGED,LADEX-LLM-LLM,gpt41mini,gpt41mini-2,439
78,PAGED,Baseline,local,local-1,1155
79,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-1,559
80,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-3,1132
81,PAGED,LADEX-LLM-NA,local,local-5,19
82,PAGED,LADEX-ALG-NA,local,local-5,901
83,PAGED,Baseline,gpt41mini,gpt41mini-5,1047
84,PAGED,LADEX-ALG-LLM,O4Mini,O4Mini-3,280
85,PAGED,Baseline,O4Mini,O4Mini-4,5
86,PAGED,Baseline,local,local-3,930
87,PAGED,LADEX-LLM-LLM,gpt41mini,gpt41mini-4,303
88,PAGED,LADEX-ALG-LLM,O4Mini,O4Mini-1,368
89,PAGED,LADEX-LLM-NA,local,local-4,999
90,PAGED,LADEX-LLM-LLM,local,local-4,350
91,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-5,278
92,PAGED,Baseline,local,local-5,778
93,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-1,1028
94,PAGED,LADEX-ALG-LLM,gpt41mini,gpt41mini-3,11
95,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-2,1146
96,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-2,241
97,PAGED,Baseline,gpt41mini,gpt41mini-3,543
98,PAGED,Baseline,local,local-1,860
99,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-3,267
100,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-5,796
101,PAGED,Baseline,O4Mini,O4Mini-5,280
102,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-5,623
103,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-2,515
104,PAGED,LADEX-ALG-LLM,O4Mini,O4Mini-5,902
105,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-3,406
106,PAGED,Baseline,local,local-4,584
107,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-2,24
108,PAGED,LADEX-ALG-LLM,gpt41mini,gpt41mini-4,924
109,PAGED,LADEX-ALG-LLM,gpt41mini,gpt41mini-4,856
110,PAGED,LADEX-LLM-LLM,local,local-5,191
111,PAGED,Baseline,gpt41mini,gpt41mini-2,661
112,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-1,962
113,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-1,666
114,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-4,796
115,PAGED,Baseline,O4Mini,O4Mini-2,280
116,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-2,278
117,PAGED,LADEX-LLM-LLM,gpt41mini,gpt41mini-3,842
118,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-3,163
119,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-2,796
120,PAGED,Baseline,local,local-3,1085
121,PAGED,LADEX-LLM-NA,local,local-1,368
122,PAGED,LADEX-ALG-NA,local,local-1,716
123,PAGED,LADEX-LLM-LLM,local,local-4,930
124,PAGED,LADEX-ALG-LLM,O4Mini,O4Mini-4,511
125,PAGED,Baseline,gpt41mini,gpt41mini-4,144
126,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-3,530
127,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-5,550
128,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-1,1047
129,PAGED,Baseline,local,local-5,661
130,PAGED,LADEX-ALG-LLM,local,local-1,341
131,PAGED,LADEX-LLM-NA,local,local-3,23
132,PAGED,LADEX-ALG-LLM,gpt41mini,gpt41mini-5,1187
133,PAGED,LADEX-ALG-LLM,gpt41mini,gpt41mini-4,1097
134,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-5,39
135,PAGED,LADEX-ALG-LLM,O4Mini,O4Mini-1,618
136,PAGED,LADEX-ALG-NA,local,local-3,1193
137,PAGED,LADEX-ALG-LLM,local,local-1,311
138,PAGED,LADEX-LLM-LLM,local,local-2,236
139,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-2,616
140,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-1,103
141,PAGED,Baseline,local,local-5,41
142,PAGED,LADEX-ALG-NA,local,local-3,842
143,PAGED,LADEX-LLM-LLM,local,local-1,999
144,PAGED,LADEX-LLM-LLM,local,local-5,561
145,PAGED,LADEX-ALG-LLM,O4Mini,O4Mini-1,1067
146,PAGED,LADEX-ALG-LLM,O4Mini,O4Mini-5,1187
147,PAGED,LADEX-ALG-LLM,gpt41mini,gpt41mini-2,139
148,PAGED,LADEX-LLM-NA,local,local-2,136
149,PAGED,LADEX-LLM-NA,local,local-5,595
150,PAGED,LADEX-LLM-LLM,local,local-1,371
151,PAGED,Baseline,O4Mini,O4Mini-1,516
152,PAGED,LADEX-LLM-LLM,local,local-3,776
153,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-1,23
154,PAGED,LADEX-LLM-LLM,gpt41mini,gpt41mini-2,848
155,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-2,623
156,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-5,822
157,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-4,1046
158,PAGED,LADEX-ALG-NA,local,local-2,1081
159,PAGED,LADEX-ALG-NA,local,local-1,51
160,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-1,666
161,PAGED,LADEX-ALG-NA,local,local-4,439
162,PAGED,Baseline,O4Mini,O4Mini-1,416
163,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-3,96
164,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-1,343
165,PAGED,LADEX-LLM-NA,local,local-2,29
166,PAGED,LADEX-ALG-LLM,O4Mini,O4Mini-3,211
167,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-5,232
168,PAGED,LADEX-ALG-NA,local,local-2,1121
169,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-4,19
170,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-4,1067
171,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-2,636
172,PAGED,LADEX-ALG-NA,local,local-1,643
173,PAGED,LADEX-LLM-LLM,gpt41mini,gpt41mini-1,1070
174,PAGED,LADEX-ALG-LLM,O4Mini,O4Mini-4,322
175,PAGED,Baseline,local,local-2,1047
176,PAGED,LADEX-LLM-LLM,local,local-3,849
177,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-3,1
178,PAGED,Baseline,O4Mini,O4Mini-2,971
179,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-2,439
180,PAGED,LADEX-ALG-LLM,gpt41mini,gpt41mini-5,311
181,PAGED,LADEX-ALG-LLM,gpt41mini,gpt41mini-2,95
182,PAGED,LADEX-LLM-LLM,local,local-2,266
183,PAGED,LADEX-LLM-LLM,local,local-1,551
184,PAGED,LADEX-ALG-LLM,local,local-2,803
185,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-1,1052
186,PAGED,LADEX-ALG-LLM,gpt41mini,gpt41mini-1,971
187,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-2,29
188,PAGED,Baseline,O4Mini,O4Mini-2,117
189,PAGED,LADEX-ALG-LLM,O4Mini,O4Mini-1,344
190,PAGED,Baseline,O4Mini,O4Mini-5,427
