scorer,dataset,model,approach,n_runs,runs,P,P_sd,R,R_sd,F1,F1_sd
AbsCon,Industry,Gemini,No Refinement,5,"1,2,3,4,5",0.2683,0.0000,0.4032,0.0000,0.3191,0.0000
AbsCon,Industry,Gemini,Model-Internal,1,1,0.5687,,0.8438,,0.6727,
AbsCon,Industry,Gemini,Element Alignment,1,1,0.5877,,0.8379,,0.6828,
AbsCon,Industry,Gemini,Direct LLM,1,1,0.5880,,0.8322,,0.6809,
AbsCon,Industry,Gemini,IntentTrace,1,1,0.5577,,0.7946,,0.6473,
AbsCon,Industry,Qwen,No Refinement,5,"1,2,3,4,5",0.2683,0.0000,0.4032,0.0000,0.3191,0.0000
AbsCon,Industry,Qwen,Model-Internal,5,"1,2,3,4,5",0.4384,0.0062,0.6450,0.0104,0.5171,0.0077
AbsCon,Industry,Qwen,Element Alignment,5,"1,2,3,4,5",0.4534,0.0176,0.6450,0.0240,0.5265,0.0199
AbsCon,Industry,Qwen,Direct LLM,5,"1,2,3,4,5",0.4307,0.0096,0.5771,0.0121,0.4865,0.0105
AbsCon,Industry,Qwen,IntentTrace,5,"1,2,3,4,5",0.5082,0.0080,0.7125,0.0123,0.5860,0.0097
AbsCon,PAGED,Gemini,No Refinement,5,"1,2,3,4,5",0.3534,0.0000,0.3558,0.0000,0.3498,0.0000
AbsCon,PAGED,Gemini,Model-Internal,1,1,0.6685,,0.6534,,0.6512,
AbsCon,PAGED,Gemini,Element Alignment,1,1,0.6987,,0.6715,,0.6751,
AbsCon,PAGED,Gemini,Direct LLM,1,1,0.7593,,0.5996,,0.6590,
AbsCon,PAGED,Gemini,IntentTrace,1,1,0.6848,,0.6450,,0.6535,
AbsCon,PAGED,Qwen,No Refinement,5,"1,2,3,4,5",0.3534,0.0000,0.3558,0.0000,0.3498,0.0000
AbsCon,PAGED,Qwen,Model-Internal,5,"1,2,3,4,5",0.6092,0.0041,0.5950,0.0039,0.5934,0.0041
AbsCon,PAGED,Qwen,Element Alignment,5,"1,2,3,4,5",0.5998,0.0047,0.5697,0.0067,0.5760,0.0056
AbsCon,PAGED,Qwen,Direct LLM,5,"1,2,3,4,5",0.6103,0.0090,0.4876,0.0112,0.5321,0.0099
AbsCon,PAGED,Qwen,IntentTrace,5,"1,2,3,4,5",0.6263,0.0072,0.5801,0.0069,0.5932,0.0067
LADEX (B-Match),Industry,Gemini,No Refinement,5,"1,2,3,4,5",0.4288,0.0000,0.4086,0.0000,0.4087,0.0000
LADEX (B-Match),Industry,Gemini,Model-Internal,1,1,0.8629,,0.8590,,0.8383,
LADEX (B-Match),Industry,Gemini,Element Alignment,1,1,0.9036,,0.7756,,0.8019,
LADEX (B-Match),Industry,Gemini,Direct LLM,1,1,0.8641,,0.8260,,0.8169,
LADEX (B-Match),Industry,Gemini,IntentTrace,1,1,0.8152,,0.6969,,0.7205,
LADEX (B-Match),Industry,Qwen,No Refinement,5,"1,2,3,4,5",0.4288,0.0000,0.4086,0.0000,0.4087,0.0000
LADEX (B-Match),Industry,Qwen,Model-Internal,5,"1,2,3,4,5",0.6694,0.0095,0.6633,0.0130,0.6485,0.0108
LADEX (B-Match),Industry,Qwen,Element Alignment,5,"1,2,3,4,5",0.6959,0.0273,0.6264,0.0241,0.6360,0.0255
LADEX (B-Match),Industry,Qwen,Direct LLM,5,"1,2,3,4,5",0.6505,0.0096,0.5559,0.0130,0.5761,0.0107
LADEX (B-Match),Industry,Qwen,IntentTrace,5,"1,2,3,4,5",0.7791,0.0139,0.6774,0.0087,0.6976,0.0098
LADEX (B-Match),PAGED,Gemini,No Refinement,5,"1,2,3,4,5",0.4238,0.0000,0.4537,0.0000,0.4165,0.0000
LADEX (B-Match),PAGED,Gemini,Model-Internal,1,1,0.8056,,0.8814,,0.7977,
LADEX (B-Match),PAGED,Gemini,Element Alignment,1,1,0.8642,,0.9143,,0.8546,
LADEX (B-Match),PAGED,Gemini,Direct LLM,1,1,0.8843,,0.8750,,0.8545,
LADEX (B-Match),PAGED,Gemini,IntentTrace,1,1,0.8767,,0.8792,,0.8529,
LADEX (B-Match),PAGED,Qwen,No Refinement,5,"1,2,3,4,5",0.4238,0.0000,0.4537,0.0000,0.4165,0.0000
LADEX (B-Match),PAGED,Qwen,Model-Internal,5,"1,2,3,4,5",0.7359,0.0063,0.8049,0.0053,0.7313,0.0057
LADEX (B-Match),PAGED,Qwen,Element Alignment,5,"1,2,3,4,5",0.7426,0.0067,0.7809,0.0086,0.7330,0.0075
LADEX (B-Match),PAGED,Qwen,Direct LLM,5,"1,2,3,4,5",0.7325,0.0128,0.7189,0.0120,0.7059,0.0135
LADEX (B-Match),PAGED,Qwen,IntentTrace,5,"1,2,3,4,5",0.7968,0.0144,0.7961,0.0075,0.7737,0.0102
