scorer,dataset,model,comparison,metric,n_pairs,mean_A,sd_A,mean_B,sd_B,mean_diff,p_value,p_value_bh,significant_bh_0.05,A12,A12_effect
AbsCon,Industry,Gemini,Model-Internal vs No Refinement,Precision,300,0.5687,,0.2683,0.0000,0.3004,7.39355e-27,1.9012e-26,True,0.7774,large
AbsCon,Industry,Gemini,Model-Internal vs No Refinement,Recall,300,0.8438,,0.4032,0.0000,0.4406,7.39355e-27,1.9012e-26,True,0.7663,large
AbsCon,Industry,Gemini,Model-Internal vs No Refinement,F1,300,0.6727,,0.3191,0.0000,0.3536,7.39355e-27,1.9012e-26,True,0.7815,large
AbsCon,Industry,Gemini,Element Alignment vs No Refinement,Precision,300,0.5877,,0.2683,0.0000,0.3194,4.46187e-42,8.03137e-41,True,0.7988,large
AbsCon,Industry,Gemini,Element Alignment vs No Refinement,Recall,300,0.8379,,0.4032,0.0000,0.4347,1.30605e-26,2.9386e-26,True,0.7568,large
AbsCon,Industry,Gemini,Element Alignment vs No Refinement,F1,300,0.6828,,0.3191,0.0000,0.3638,1.24573e-37,7.47437e-37,True,0.7990,large
AbsCon,Industry,Gemini,Direct LLM vs No Refinement,Precision,300,0.5880,,0.2683,0.0000,0.3198,6.43859e-41,5.79473e-40,True,0.8043,large
AbsCon,Industry,Gemini,Direct LLM vs No Refinement,Recall,300,0.8322,,0.4032,0.0000,0.4290,2.93247e-25,5.86495e-25,True,0.7526,large
AbsCon,Industry,Gemini,Direct LLM vs No Refinement,F1,300,0.6809,,0.3191,0.0000,0.3618,4.89978e-35,2.2049e-34,True,0.7981,large
AbsCon,Industry,Gemini,IntentTrace vs Model-Internal,Precision,300,0.5577,,0.5687,,-0.0110,2.85453e-06,5.13815e-06,True,0.5185,negligible
AbsCon,Industry,Gemini,IntentTrace vs Model-Internal,Recall,300,0.7946,,0.8438,,-0.0492,2.54937e-05,4.1717e-05,True,0.4524,negligible
AbsCon,Industry,Gemini,IntentTrace vs Model-Internal,F1,300,0.6473,,0.6727,,-0.0254,0.0072268,0.0100063,True,0.5094,negligible
AbsCon,Industry,Gemini,IntentTrace vs Element Alignment,Precision,300,0.5577,,0.5877,,-0.0299,0.00594247,0.0089137,True,0.4739,negligible
AbsCon,Industry,Gemini,IntentTrace vs Element Alignment,Recall,300,0.7946,,0.8379,,-0.0433,0.446102,0.446102,False,0.4706,negligible
