scorer,dataset,model,comparison,metric,n_pairs,mean_A,sd_A,mean_B,sd_B,mean_diff,p_value,p_value_bh,significant_bh_0.05,A12,A12_effect
LADEX,Industry,Gemini,Model-Internal vs No Refinement,Precision,300,0.8629,,0.4288,0.0000,0.4341,4.63454e-28,1.55839e-27,True,0.7402,large
LADEX,Industry,Gemini,Model-Internal vs No Refinement,Recall,300,0.8590,,0.4086,0.0000,0.4505,2.71294e-28,1.22083e-27,True,0.7681,large
LADEX,Industry,Gemini,Model-Internal vs No Refinement,F1,300,0.8383,,0.4087,0.0000,0.4296,4.31221e-27,9.70247e-27,True,0.7519,large
LADEX,Industry,Gemini,Element Alignment vs No Refinement,Precision,300,0.9036,,0.4288,0.0000,0.4747,6.85735e-33,1.23432e-31,True,0.7624,large
LADEX,Industry,Gemini,Element Alignment vs No Refinement,Recall,300,0.7756,,0.4086,0.0000,0.3670,6.06372e-25,1.21274e-24,True,0.7237,large
LADEX,Industry,Gemini,Element Alignment vs No Refinement,F1,300,0.8019,,0.4087,0.0000,0.3932,3.11077e-27,7.99913e-27,True,0.7254,large
LADEX,Industry,Gemini,Direct LLM vs No Refinement,Precision,300,0.8641,,0.4288,0.0000,0.4353,3.92504e-30,3.53254e-29,True,0.7393,large
LADEX,Industry,Gemini,Direct LLM vs No Refinement,Recall,300,0.8260,,0.4086,0.0000,0.4174,2.44983e-28,1.22083e-27,True,0.7506,large
LADEX,Industry,Gemini,Direct LLM vs No Refinement,F1,300,0.8169,,0.4087,0.0000,0.4082,5.19464e-28,1.55839e-27,True,0.7352,large
LADEX,Industry,Gemini,IntentTrace vs Model-Internal,Precision,300,0.8152,,0.8629,,-0.0477,0.992683,0.992683,False,0.4990,negligible
LADEX,Industry,Gemini,IntentTrace vs Model-Internal,Recall,300,0.6969,,0.8590,,-0.1621,2.20155e-14,3.96279e-14,True,0.3713,small
LADEX,Industry,Gemini,IntentTrace vs Model-Internal,F1,300,0.7205,,0.8383,,-0.1179,5.39497e-07,8.09245e-07,True,0.3989,small
LADEX,Industry,Gemini,IntentTrace vs Element Alignment,Precision,300,0.8152,,0.9036,,-0.0883,0.000364658,0.00043759,True,0.4598,negligible
LADEX,Industry,Gemini,IntentTrace vs Element Alignment,Recall,300,0.6969,,0.7756,,-0.0787,0.00035983,0.00043759,True,0.4497,negligible
LADEX,Industry,Gemini,IntentTrace vs Element Alignment,F1,300,0.7205,,0.8019,,-0.0815,0.00207187,0.00233085,True,0.4490,negligible
LADEX,Industry,Gemini,IntentTrace vs Direct LLM,Precision,300,0.8152,,0.8641,,-0.0489,0.634555,0.671881,False,0.4942,negligible
LADEX,Industry,Gemini,IntentTrace vs Direct LLM,Recall,300,0.6969,,0.8260,,-0.1291,3.95434e-10,6.47074e-10,True,0.3965,small
