dataset,model,approach,n_runs,runs,n_struct_or_logic,n_struct_or_logic_sd,P,P_sd,R,R_sd,F1,F1_sd
Industry,Gemini,No Refinement,5,"1,2,3,4,5",157.0,0.0,0.3245,0.0038,0.4427,0.0013,0.3572,0.0041
Industry,Gemini,Model-Internal,1,1,4.0,,0.5892,,0.8036,,0.6302,
Industry,Gemini,Element Alignment,1,1,4.0,,0.5947,,0.7294,,0.6098,
Industry,Gemini,Direct LLM,1,1,5.0,,0.5540,,0.7245,,0.5781,
Industry,Gemini,IntentTrace,1,1,19.0,,0.7073,,0.8188,,0.7152,
Industry,Qwen,No Refinement,5,"1,2,3,4,5",157.0,0.0,0.2883,0.0031,0.4568,0.0027,0.3233,0.0011
Industry,Qwen,Model-Internal,5,"1,2,3,4,5",72.2,3.5,0.4035,0.0131,0.6653,0.0215,0.4574,0.0149
Industry,Qwen,Element Alignment,5,"1,2,3,4,5",69.0,8.5,0.4275,0.0207,0.6575,0.0293,0.4752,0.0218
Industry,Qwen,Direct LLM,5,"1,2,3,4,5",85.8,4.1,0.4109,0.0133,0.5755,0.0118,0.4412,0.0091
Industry,Qwen,IntentTrace,5,"1,2,3,4,5",44.2,4.0,0.5485,0.0104,0.8120,0.0119,0.6058,0.0093
PAGED,Gemini,No Refinement,5,"1,2,3,4,5",203.0,0.0,0.4122,0.0028,0.4666,0.0027,0.4271,0.0024
PAGED,Gemini,Model-Internal,1,1,15.0,,0.7182,,0.8313,,0.7386,
PAGED,Gemini,Element Alignment,1,1,3.0,,0.7466,,0.8539,,0.7665,
PAGED,Gemini,Direct LLM,1,1,5.0,,0.7777,,0.8157,,0.7683,
PAGED,Gemini,IntentTrace,1,1,15.0,,0.8561,,0.8474,,0.8308,
PAGED,Qwen,No Refinement,5,"1,2,3,4,5",203.0,0.0,0.3849,0.0022,0.4715,0.0028,0.4097,0.0019
PAGED,Qwen,Model-Internal,5,"1,2,3,4,5",50.8,2.5,0.6133,0.0087,0.7889,0.0112,0.6564,0.0082
PAGED,Qwen,Element Alignment,5,"1,2,3,4,5",61.8,3.4,0.6350,0.0041,0.7685,0.0108,0.6659,0.0065
PAGED,Qwen,Direct LLM,5,"1,2,3,4,5",83.8,5.3,0.6416,0.0072,0.7127,0.0107,0.6537,0.0080
PAGED,Qwen,IntentTrace,5,"1,2,3,4,5",51.2,3.7,0.7206,0.0105,0.8086,0.0063,0.7353,0.0062
