dataset,model,approach,n_specifications,n_diagram_scores,n_runs,runs,exp_specs_struct_or_logic,exp_specs_struct_or_logic_sd,P,P_sd,R,R_sd,F1,F1_sd
Industry,Gemini,No Refinement,20,1500,5,"1,2,3,4,5",10.65,0.00,0.3200,0.0042,0.4334,0.0016,0.3517,0.0043
Industry,Gemini,Model-Internal,20,300,1,1,0.33,,0.5723,,0.8027,,0.6160,
Industry,Gemini,Element Alignment,20,300,1,1,0.36,,0.5844,,0.7302,,0.6022,
Industry,Gemini,Direct LLM,20,300,1,1,0.38,,0.5413,,0.7253,,0.5669,
Industry,Gemini,IntentTrace,20,300,1,1,1.47,,0.6964,,0.8111,,0.7050,
Industry,Qwen,No Refinement,20,1500,5,"1,2,3,4,5",10.65,0.00,0.2858,0.0033,0.4478,0.0030,0.3208,0.0011
Industry,Qwen,Model-Internal,20,1500,5,"1,2,3,4,5",5.12,0.27,0.3969,0.0126,0.6494,0.0209,0.4508,0.0142
Industry,Qwen,Element Alignment,20,1500,5,"1,2,3,4,5",4.79,0.53,0.4255,0.0209,0.6487,0.0284,0.4729,0.0218
Industry,Qwen,Direct LLM,20,1500,5,"1,2,3,4,5",5.86,0.26,0.4105,0.0108,0.5651,0.0153,0.4385,0.0077
Industry,Qwen,IntentTrace,20,1500,5,"1,2,3,4,5",3.17,0.31,0.5483,0.0132,0.8009,0.0146,0.6035,0.0125
PAGED,Gemini,No Refinement,175,2000,5,"1,2,3,4,5",86.73,0.00,0.4251,0.0039,0.4784,0.0028,0.4388,0.0026
PAGED,Gemini,Model-Internal,175,400,1,1,7.70,,0.7228,,0.8269,,0.7404,
PAGED,Gemini,Element Alignment,175,400,1,1,0.92,,0.7572,,0.8582,,0.7739,
PAGED,Gemini,Direct LLM,175,400,1,1,2.25,,0.7944,,0.8185,,0.7782,
PAGED,Gemini,IntentTrace,175,400,1,1,6.45,,0.8595,,0.8548,,0.8358,
PAGED,Qwen,No Refinement,175,2000,5,"1,2,3,4,5",86.73,0.00,0.3942,0.0017,0.4846,0.0028,0.4203,0.0018
PAGED,Qwen,Model-Internal,175,2000,5,"1,2,3,4,5",22.18,1.54,0.6188,0.0097,0.7882,0.0119,0.6617,0.0089
PAGED,Qwen,Element Alignment,175,2000,5,"1,2,3,4,5",27.00,2.24,0.6391,0.0063,0.7684,0.0145,0.6690,0.0081
PAGED,Qwen,Direct LLM,175,2000,5,"1,2,3,4,5",37.28,2.86,0.6447,0.0117,0.7076,0.0106,0.6546,0.0113
PAGED,Qwen,IntentTrace,175,2000,5,"1,2,3,4,5",21.87,2.60,0.7325,0.0095,0.8118,0.0118,0.7447,0.0072
