tool,dataset,model,round,n_runs,runs,P,P_sd,R,R_sd,F1,F1_sd
AbsCon,Industry,Gemini,No Refinement,5,"1,2,3,4,5",0.2683,0.0000,0.4032,0.0000,0.3191,0.0000
AbsCon,Industry,Gemini,1st Round,1,1,0.5577,,0.7946,,0.6473,
AbsCon,Industry,Gemini,2nd Round,1,1,0.5961,,0.8444,,0.6904,
AbsCon,Industry,Gemini,3rd Round,1,1,0.6008,,0.8470,,0.6944,
AbsCon,Industry,Gemini,4th Round,1,1,0.5935,,0.8351,,0.6852,
AbsCon,Industry,Qwen,No Refinement,5,"1,2,3,4,5",0.2683,0.0000,0.4032,0.0000,0.3191,0.0000
AbsCon,Industry,Qwen,1st Round,5,"1,2,3,4,5",0.5082,0.0080,0.7125,0.0123,0.5860,0.0097
AbsCon,Industry,Qwen,2nd Round,5,"1,2,3,4,5",0.5419,0.0166,0.7413,0.0214,0.6172,0.0180
AbsCon,Industry,Qwen,3rd Round,5,"1,2,3,4,5",0.5666,0.0049,0.7633,0.0082,0.6410,0.0062
AbsCon,Industry,Qwen,4th Round,5,"1,2,3,4,5",0.5714,0.0051,0.7647,0.0068,0.6444,0.0060
AbsCon,PAGED,Gemini,No Refinement,5,"1,2,3,4,5",0.3534,0.0000,0.3558,0.0000,0.3498,0.0000
AbsCon,PAGED,Gemini,1st Round,1,1,0.6848,,0.6450,,0.6535,
AbsCon,PAGED,Gemini,2nd Round,1,1,0.7130,,0.6661,,0.6775,
AbsCon,PAGED,Gemini,3rd Round,1,1,0.7094,,0.6619,,0.6734,
AbsCon,PAGED,Gemini,4th Round,1,1,0.7074,,0.6559,,0.6691,
AbsCon,PAGED,Qwen,No Refinement,5,"1,2,3,4,5",0.3534,0.0000,0.3558,0.0000,0.3498,0.0000
AbsCon,PAGED,Qwen,1st Round,5,"1,2,3,4,5",0.6263,0.0072,0.5801,0.0069,0.5932,0.0067
AbsCon,PAGED,Qwen,2nd Round,5,"1,2,3,4,5",0.6697,0.0063,0.6003,0.0040,0.6229,0.0048
AbsCon,PAGED,Qwen,3rd Round,5,"1,2,3,4,5",0.6817,0.0074,0.6039,0.0074,0.6297,0.0071
AbsCon,PAGED,Qwen,4th Round,5,"1,2,3,4,5",0.6870,0.0051,0.6036,0.0059,0.6317,0.0046
LADEX (B-Match),Industry,Gemini,No Refinement,5,"1,2,3,4,5",0.4288,0.0000,0.4086,0.0000,0.4087,0.0000
LADEX (B-Match),Industry,Gemini,1st Round,1,1,0.8152,,0.6969,,0.7205,
LADEX (B-Match),Industry,Gemini,2nd Round,1,1,0.8958,,0.7011,,0.7558,
LADEX (B-Match),Industry,Gemini,3rd Round,1,1,0.8977,,0.6852,,0.7406,
LADEX (B-Match),Industry,Gemini,4th Round,1,1,0.8972,,0.6933,,0.7504,
LADEX (B-Match),Industry,Qwen,No Refinement,5,"1,2,3,4,5",0.4288,0.0000,0.4086,0.0000,0.4087,0.0000
LADEX (B-Match),Industry,Qwen,1st Round,5,"1,2,3,4,5",0.7791,0.0139,0.6774,0.0087,0.6976,0.0098
LADEX (B-Match),Industry,Qwen,2nd Round,5,"1,2,3,4,5",0.8387,0.0308,0.6551,0.0201,0.7019,0.0249
LADEX (B-Match),Industry,Qwen,3rd Round,5,"1,2,3,4,5",0.8829,0.0057,0.6535,0.0090,0.7135,0.0057
LADEX (B-Match),Industry,Qwen,4th Round,5,"1,2,3,4,5",0.8950,0.0084,0.6387,0.0075,0.7074,0.0068
LADEX (B-Match),PAGED,Gemini,No Refinement,5,"1,2,3,4,5",0.4238,0.0000,0.4537,0.0000,0.4165,0.0000
LADEX (B-Match),PAGED,Gemini,1st Round,1,1,0.8767,,0.8792,,0.8529,
LADEX (B-Match),PAGED,Gemini,2nd Round,1,1,0.9306,,0.8950,,0.8872,
LADEX (B-Match),PAGED,Gemini,3rd Round,1,1,0.9340,,0.9004,,0.8927,
LADEX (B-Match),PAGED,Gemini,4th Round,1,1,0.9281,,0.8901,,0.8837,
LADEX (B-Match),PAGED,Qwen,No Refinement,5,"1,2,3,4,5",0.4238,0.0000,0.4537,0.0000,0.4165,0.0000
LADEX (B-Match),PAGED,Qwen,1st Round,5,"1,2,3,4,5",0.7968,0.0144,0.7961,0.0075,0.7737,0.0102
LADEX (B-Match),PAGED,Qwen,2nd Round,5,"1,2,3,4,5",0.8467,0.0064,0.8144,0.0096,0.8093,0.0075
LADEX (B-Match),PAGED,Qwen,3rd Round,5,"1,2,3,4,5",0.8696,0.0096,0.8084,0.0088,0.8157,0.0081
LADEX (B-Match),PAGED,Qwen,4th Round,5,"1,2,3,4,5",0.8770,0.0116,0.8050,0.0125,0.8165,0.0129
