scorer,dataset,model,comparison,metric,n_pairs,mean_A,sd_A,mean_B,sd_B,mean_diff,p_value,p_value_bh,significant_bh_0.05,A12,A12_effect
AbsCon,Industry,Gemini,1st Round vs No Refinement,Precision,300,0.5577,,0.2683,0.0000,0.2895,1.13386e-32,1.36064e-31,True,0.7702,large
AbsCon,Industry,Gemini,1st Round vs No Refinement,Recall,300,0.7946,,0.4032,0.0000,0.3914,4.37778e-24,1.75111e-23,True,0.7299,large
AbsCon,Industry,Gemini,1st Round vs No Refinement,F1,300,0.6473,,0.3191,0.0000,0.3282,6.52857e-30,3.91714e-29,True,0.7694,large
AbsCon,Industry,Gemini,2nd Round vs 1st Round,Precision,300,0.5961,,0.5577,,0.0383,0.00391975,0.00979073,True,0.5393,negligible
AbsCon,Industry,Gemini,2nd Round vs 1st Round,Recall,300,0.8444,,0.7946,,0.0498,0.570441,0.760588,False,0.5269,negligible
AbsCon,Industry,Gemini,2nd Round vs 1st Round,F1,300,0.6904,,0.6473,,0.0432,0.00407947,0.00979073,True,0.5338,negligible
AbsCon,Industry,Gemini,3rd Round vs 2nd Round,Precision,300,0.6008,,0.5961,,0.0047,0.00982359,0.0196472,True,0.5080,negligible
AbsCon,Industry,Gemini,3rd Round vs 2nd Round,Recall,300,0.8470,,0.8444,,0.0026,0.52322,0.760588,False,0.5005,negligible
AbsCon,Industry,Gemini,3rd Round vs 2nd Round,F1,300,0.6944,,0.6904,,0.0039,0.042302,0.0725177,False,0.5028,negligible
AbsCon,Industry,Gemini,4th Round vs 3rd Round,Precision,300,0.5935,,0.6008,,-0.0072,0.934848,0.934848,False,0.4954,negligible
AbsCon,Industry,Gemini,4th Round vs 3rd Round,Recall,300,0.8351,,0.8470,,-0.0119,0.766822,0.836533,False,0.4900,negligible
AbsCon,Industry,Gemini,4th Round vs 3rd Round,F1,300,0.6852,,0.6944,,-0.0092,0.735439,0.836533,False,0.4913,negligible
