scorer,dataset,model,comparison,metric,n_pairs,mean_A,sd_A,mean_B,sd_B,mean_diff,p_value,p_value_bh,significant_bh_0.05,A12,A12_effect
LADEX,Industry,Gemini,1st Round vs No Refinement,Precision,300,0.8152,,0.4288,0.0000,0.3864,5.68643e-26,6.82372e-25,True,0.7157,large
LADEX,Industry,Gemini,1st Round vs No Refinement,Recall,300,0.6969,,0.4086,0.0000,0.2883,6.21324e-17,2.4853e-16,True,0.6769,medium
LADEX,Industry,Gemini,1st Round vs No Refinement,F1,300,0.7205,,0.4087,0.0000,0.3118,1.57531e-18,9.45186e-18,True,0.6771,medium
LADEX,Industry,Gemini,2nd Round vs 1st Round,Precision,300,0.8958,,0.8152,,0.0806,3.39838e-07,1.01951e-06,True,0.5711,small
LADEX,Industry,Gemini,2nd Round vs 1st Round,Recall,300,0.7011,,0.6969,,0.0042,0.347214,0.462951,False,0.4856,negligible
LADEX,Industry,Gemini,2nd Round vs 1st Round,F1,300,0.7558,,0.7205,,0.0353,0.558976,0.670771,False,0.5124,negligible
LADEX,Industry,Gemini,3rd Round vs 2nd Round,Precision,300,0.8977,,0.8958,,0.0018,0.884137,0.958789,False,0.4920,negligible
LADEX,Industry,Gemini,3rd Round vs 2nd Round,Recall,300,0.6852,,0.7011,,-0.0158,0.0408314,0.0816627,False,0.4855,negligible
LADEX,Industry,Gemini,3rd Round vs 2nd Round,F1,300,0.7406,,0.7558,,-0.0153,0.0105281,0.0252675,True,0.4778,negligible
LADEX,Industry,Gemini,4th Round vs 3rd Round,Precision,300,0.8972,,0.8977,,-0.0005,0.958789,0.958789,False,0.5093,negligible
LADEX,Industry,Gemini,4th Round vs 3rd Round,Recall,300,0.6933,,0.6852,,0.0081,0.227928,0.341893,False,0.5060,negligible
LADEX,Industry,Gemini,4th Round vs 3rd Round,F1,300,0.7504,,0.7406,,0.0098,0.0944918,0.161986,False,0.5135,negligible
LADEX,Industry,Qwen,1st Round vs No Refinement,Precision,1500,0.7791,0.0139,0.4288,0.0000,0.3502,5.40591e-102,6.48709e-101,True,0.6974,medium
LADEX,Industry,Qwen,1st Round vs No Refinement,Recall,1500,0.6774,0.0087,0.4086,0.0000,0.2688,1.0518e-69,4.20718e-69,True,0.6626,medium
LADEX,Industry,Qwen,1st Round vs No Refinement,F1,1500,0.6976,0.0098,0.4087,0.0000,0.2889,5.17654e-79,3.10592e-78,True,0.6650,medium
LADEX,Industry,Qwen,2nd Round vs 1st Round,Precision,1500,0.8387,0.0308,0.7791,0.0139,0.0596,4.31398e-09,1.29419e-08,True,0.5512,negligible
LADEX,Industry,Qwen,2nd Round vs 1st Round,Recall,1500,0.6551,0.0201,0.6774,0.0087,-0.0224,0.0036462,0.00729241,True,0.4708,negligible
LADEX,Industry,Qwen,2nd Round vs 1st Round,F1,1500,0.7019,0.0249,0.6976,0.0098,0.0043,0.25773,0.309275,False,0.4896,negligible
LADEX,Industry,Qwen,3rd Round vs 2nd Round,Precision,1500,0.8829,0.0057,0.8387,0.0308,0.0442,2.62466e-06,6.29919e-06,True,0.5337,negligible
