dataset,model,round,charged_stages,n_runs,runs,n_cases,match_diagrams,match_input_per_diagram,match_output_per_diagram,match_reasoning_per_diagram,match_total_per_diagram,trace_diagrams,trace_input_per_diagram,trace_output_per_diagram,trace_reasoning_per_diagram,trace_total_per_diagram,refine_diagrams,refine_input_per_diagram,refine_output_per_diagram,refine_reasoning_per_diagram,refine_total_per_diagram,combined_input_per_diagram,combined_output_per_diagram,combined_reasoning_per_diagram,combined_total_per_diagram,usd_per_diagram
Industry,Gemini,No Refinement,match+trace,5,"1,2,3,4,5",300,300.0,7806,2344,2819,12969,299.6,2982,873,2440,6295,0.0,0,0,0,0,10788,3217,5259,19264,0.1233
Industry,Gemini,1st Round,match+refine,1,1,300,299.0,7566,2272,2590,12428,0.0,0,0,0,0,299.5,12365,1477,4597,18438,19931,3749,7187,30867,0.1711
Industry,Gemini,2nd Round,match+refine,1,1,300,280.0,8167,2160,6328,16655,0.0,0,0,0,0,280.0,14918,1523,13423,29863,23085,3683,19751,46518,0.3301
Industry,Gemini,3rd Round,match+refine,1,1,300,238.0,8476,2271,6667,17413,0.0,0,0,0,0,238.0,18488,1617,16888,36993,26964,3888,23554,54406,0.3891
Industry,Gemini,4th Round,match+refine,1,1,300,209.0,8725,2360,6755,17839,0.0,0,0,0,0,209.0,17799,1733,17674,37207,26524,4093,24429,55046,0.4014
Industry,Qwen,No Refinement,match+trace,5,"1,2,3,4,5",300,300.0,7702,1802,9032,18536,299.6,3015,298,6897,10210,0.0,0,0,0,0,10717,2100,15930,28746,
Industry,Qwen,1st Round,match+refine,5,"1,2,3,4,5",300,296.8,7444,1735,8774,17953,0.0,0,0,0,0,296.8,10342,1357,8522,20221,17786,3092,17295,38174,
Industry,Qwen,2nd Round,match+refine,5,"1,2,3,4,5",300,279.0,8080,1639,7903,17622,0.0,0,0,0,0,279.0,12254,1330,7903,21488,20334,2969,15806,39109,
Industry,Qwen,3rd Round,match+refine,5,"1,2,3,4,5",300,241.4,8171,1669,8014,17854,0.0,0,0,0,0,241.4,12252,1363,7527,21142,20424,3032,15540,38996,
Industry,Qwen,4th Round,match+refine,5,"1,2,3,4,5",300,216.0,8229,1676,7986,17891,0.0,0,0,0,0,216.0,12063,1379,7431,20873,20292,3055,15417,38764,
PAGED,Gemini,No Refinement,match+trace,5,"1,2,3,4,5",400,400.0,5472,978,1685,8135,399.6,1996,210,1361,3567,0.0,0,0,0,0,7468,1188,3046,11703,0.0657
PAGED,Gemini,1st Round,match+refine,1,1,400,313.0,5526,1079,1751,8356,0.0,0,0,0,0,316.0,5119,629,3794,9541,10644,1708,5545,17897,0.1083
PAGED,Gemini,2nd Round,match+refine,1,1,400,227.0,6047,1207,4294,11547,0.0,0,0,0,0,227.0,5776,748,11788,18312,11823,1955,16081,29859,0.2401
PAGED,Gemini,3rd Round,match+refine,1,1,400,169.0,6302,1314,4782,12398,0.0,0,0,0,0,169.0,5710,820,14825,21355,12012,2135,19606,33753,0.2849
PAGED,Gemini,4th Round,match+refine,1,1,400,140.0,6385,1351,4742,12478,0.0,0,0,0,0,140.0,5292,859,18040,24192,11678,2210,22782,36670,0.3232
PAGED,Qwen,No Refinement,match+trace,5,"1,2,3,4,5",400,400.0,5405,719,5536,11660,398.8,1970,125,5088,7183,0.0,0,0,0,0,7375,844,10624,18843,
PAGED,Qwen,1st Round,match+refine,5,"1,2,3,4,5",400,358.8,5493,746,5632,11871,0.0,0,0,0,0,358.8,4503,539,6153,11195,9996,1285,11785,23066,
PAGED,Qwen,2nd Round,match+refine,5,"1,2,3,4,5",400,288.4,5790,760,5178,11727,0.0,0,0,0,0,288.4,5424,561,6568,12553,11214,1320,11745,24279,
PAGED,Qwen,3rd Round,match+refine,5,"1,2,3,4,5",400,229.8,5878,789,5343,12010,0.0,0,0,0,0,229.8,5490,594,6756,12840,11367,1384,12099,24851,
PAGED,Qwen,4th Round,match+refine,5,"1,2,3,4,5",400,207.2,5893,803,5340,12037,0.0,0,0,0,0,207.2,5184,598,6596,12378,11076,1402,11936,24414,
