dataset,comparison,metric,n_pairs,qwen_mean,qwen_sd,gemini_mean,gemini_sd,mean_diff,p_value,p_value_bh,significant_bh_0.05,A12,A12_effect
Industry,Qwen 1st Round vs Gemini 1st Round,Precision,300,0.5485,0.0104,0.7073,,-0.1588,5.8081e-18,3.48486e-17,True,0.3348,medium
Industry,Qwen 1st Round vs Gemini 1st Round,Recall,300,0.8120,0.0119,0.8188,,-0.0068,0.107341,0.128809,False,0.4210,small
Industry,Qwen 1st Round vs Gemini 1st Round,F1,300,0.6058,0.0093,0.7152,,-0.1094,1.82659e-11,5.47977e-11,True,0.3708,small
Industry,Qwen 4th Round vs Gemini 1st Round,Precision,300,0.7348,0.0222,0.7073,,0.0275,0.299215,0.299215,False,0.5012,negligible
Industry,Qwen 4th Round vs Gemini 1st Round,Recall,300,0.8979,0.0135,0.8188,,0.0792,0.000182663,0.000365326,True,0.5630,small
Industry,Qwen 4th Round vs Gemini 1st Round,F1,300,0.7673,0.0202,0.7152,,0.0521,0.00327363,0.00491044,True,0.5444,negligible
PAGED,Qwen 1st Round vs Gemini 1st Round,Precision,400,0.7206,0.0105,0.8561,,-0.1355,1.7462e-22,1.04772e-21,True,0.3202,medium
PAGED,Qwen 1st Round vs Gemini 1st Round,Recall,400,0.8086,0.0063,0.8474,,-0.0388,0.000579511,0.00115902,True,0.4243,small
PAGED,Qwen 1st Round vs Gemini 1st Round,F1,400,0.7353,0.0062,0.8308,,-0.0955,4.34952e-16,1.30486e-15,True,0.3694,small
PAGED,Qwen 4th Round vs Gemini 1st Round,Precision,400,0.8589,0.0062,0.8561,,0.0028,0.463773,0.51778,False,0.4669,negligible
PAGED,Qwen 4th Round vs Gemini 1st Round,Recall,400,0.8750,0.0048,0.8474,,0.0275,0.271874,0.40781,False,0.5047,negligible
PAGED,Qwen 4th Round vs Gemini 1st Round,F1,400,0.8496,0.0045,0.8308,,0.0188,0.51778,0.51778,False,0.5001,negligible
