dataset,model,round,n_cases,n_runs,runs,Structural or Logical Diagnostics,Structural or Logical Diagnostics_sd,Specification-Alignment Diagnostics,Specification-Alignment Diagnostics_sd
Industry,Gemini,No Refinement,300,5,"1,2,3,4,5",157.0,0.0,299.4,0.5
Industry,Gemini,1st Round,300,1,1,19.0,,280.0,
Industry,Gemini,2nd Round,300,1,1,1.0,,238.0,
Industry,Gemini,3rd Round,300,1,1,0.0,,209.0,
Industry,Gemini,4th Round,300,1,1,4.0,,197.0,
Industry,Qwen,No Refinement,300,5,"1,2,3,4,5",157.0,0.0,296.0,1.1
Industry,Qwen,1st Round,300,5,"1,2,3,4,5",44.2,4.0,276.2,2.9
Industry,Qwen,2nd Round,300,5,"1,2,3,4,5",32.0,7.9,238.0,7.0
Industry,Qwen,3rd Round,300,5,"1,2,3,4,5",21.6,3.0,212.4,5.1
Industry,Qwen,4th Round,300,5,"1,2,3,4,5",20.4,2.4,197.6,3.4
PAGED,Gemini,No Refinement,400,5,"1,2,3,4,5",203.0,0.0,307.8,4.0
PAGED,Gemini,1st Round,400,1,1,15.0,,227.0,
PAGED,Gemini,2nd Round,400,1,1,0.0,,169.0,
PAGED,Gemini,3rd Round,400,1,1,0.0,,140.0,
PAGED,Gemini,4th Round,400,1,1,1.0,,127.0,
PAGED,Qwen,No Refinement,400,5,"1,2,3,4,5",203.0,0.0,351.0,2.6
PAGED,Qwen,1st Round,400,5,"1,2,3,4,5",51.2,3.7,283.8,4.1
PAGED,Qwen,2nd Round,400,5,"1,2,3,4,5",34.8,3.4,222.4,4.0
PAGED,Qwen,3rd Round,400,5,"1,2,3,4,5",29.0,3.6,201.0,4.3
PAGED,Qwen,4th Round,400,5,"1,2,3,4,5",27.2,2.7,182.4,2.2
