dataset,model,round,n_runs,runs,P,P_sd,R,R_sd,F1,F1_sd
Industry,Gemini,No Refinement,5,"1,2,3,4,5",0.3245,0.0038,0.4427,0.0013,0.3572,0.0041
Industry,Gemini,1st Round,1,1,0.7073,,0.8188,,0.7152,
Industry,Gemini,2nd Round,1,1,0.8329,,0.8808,,0.8198,
Industry,Gemini,3rd Round,1,1,0.8662,,0.8790,,0.8369,
Industry,Gemini,4th Round,1,1,0.8509,,0.8844,,0.8314,
Industry,Qwen,No Refinement,5,"1,2,3,4,5",0.2883,0.0031,0.4568,0.0027,0.3233,0.0011
Industry,Qwen,1st Round,5,"1,2,3,4,5",0.5485,0.0104,0.8120,0.0119,0.6058,0.0093
Industry,Qwen,2nd Round,5,"1,2,3,4,5",0.6474,0.0258,0.8611,0.0283,0.6910,0.0260
Industry,Qwen,3rd Round,5,"1,2,3,4,5",0.7041,0.0153,0.8943,0.0043,0.7422,0.0135
Industry,Qwen,4th Round,5,"1,2,3,4,5",0.7348,0.0222,0.8979,0.0135,0.7673,0.0202
PAGED,Gemini,No Refinement,5,"1,2,3,4,5",0.4122,0.0028,0.4666,0.0027,0.4271,0.0024
PAGED,Gemini,1st Round,1,1,0.8561,,0.8474,,0.8308,
PAGED,Gemini,2nd Round,1,1,0.9416,,0.9130,,0.9112,
PAGED,Gemini,3rd Round,1,1,0.9590,,0.9103,,0.9204,
PAGED,Gemini,4th Round,1,1,0.9603,,0.9152,,0.9240,
PAGED,Qwen,No Refinement,5,"1,2,3,4,5",0.3849,0.0022,0.4715,0.0028,0.4097,0.0019
PAGED,Qwen,1st Round,5,"1,2,3,4,5",0.7206,0.0105,0.8086,0.0063,0.7353,0.0062
PAGED,Qwen,2nd Round,5,"1,2,3,4,5",0.8060,0.0100,0.8562,0.0094,0.8064,0.0081
PAGED,Qwen,3rd Round,5,"1,2,3,4,5",0.8392,0.0083,0.8698,0.0148,0.8336,0.0091
PAGED,Qwen,4th Round,5,"1,2,3,4,5",0.8589,0.0062,0.8750,0.0048,0.8496,0.0045
