dataset,model,comparison,metric,n_pairs,mean_A,sd_A,mean_B,sd_B,mean_diff,p_value,p_value_bh,significant_bh_0.05,A12,A12_effect
Industry,Gemini,1st Round vs No Refinement,Precision,300,0.7073,,0.3244,0.0038,0.3829,2.22614e-34,2.67137e-33,True,0.7785,large
Industry,Gemini,1st Round vs No Refinement,Recall,300,0.8188,,0.4404,0.0013,0.3783,3.65555e-26,1.46222e-25,True,0.7143,large
Industry,Gemini,1st Round vs No Refinement,F1,300,0.7152,,0.3555,0.0041,0.3597,2.64211e-33,1.58527e-32,True,0.7440,large
Industry,Gemini,2nd Round vs 1st Round,Precision,300,0.8329,,0.7073,,0.1256,9.34294e-15,2.80288e-14,True,0.6603,medium
Industry,Gemini,2nd Round vs 1st Round,Recall,300,0.8808,,0.8188,,0.0621,6.23225e-06,1.24645e-05,True,0.5671,small
Industry,Gemini,2nd Round vs 1st Round,F1,300,0.8198,,0.7152,,0.1046,6.67441e-14,1.60186e-13,True,0.6439,medium
Industry,Gemini,3rd Round vs 2nd Round,Precision,300,0.8662,,0.8329,,0.0333,2.21946e-05,3.80479e-05,True,0.5701,small
Industry,Gemini,3rd Round vs 2nd Round,Recall,300,0.8790,,0.8808,,-0.0019,0.0501886,0.0602263,False,0.5437,negligible
Industry,Gemini,3rd Round vs 2nd Round,F1,300,0.8369,,0.8198,,0.0170,0.00798624,0.0119794,True,0.5389,negligible
Industry,Gemini,4th Round vs 3rd Round,Precision,300,0.8509,,0.8662,,-0.0153,0.708985,0.708985,False,0.5112,negligible
Industry,Gemini,4th Round vs 3rd Round,Recall,300,0.8844,,0.8790,,0.0055,0.0448023,0.0597365,False,0.5416,negligible
Industry,Gemini,4th Round vs 3rd Round,F1,300,0.8314,,0.8369,,-0.0054,0.281085,0.306638,False,0.5250,negligible
Industry,Qwen,1st Round vs No Refinement,Precision,1500,0.5485,0.0104,0.2883,0.0031,0.2602,1.02115e-120,6.12692e-120,True,0.7073,medium
Industry,Qwen,1st Round vs No Refinement,Recall,1500,0.8120,0.0119,0.4568,0.0027,0.3552,2.79792e-101,1.11917e-100,True,0.6949,medium
Industry,Qwen,1st Round vs No Refinement,F1,1500,0.6058,0.0093,0.3233,0.0011,0.2825,2.72053e-124,3.26463e-123,True,0.7031,medium
Industry,Qwen,2nd Round vs 1st Round,Precision,1500,0.6474,0.0258,0.5485,0.0104,0.0989,5.7379e-51,1.72137e-50,True,0.5937,small
Industry,Qwen,2nd Round vs 1st Round,Recall,1500,0.8611,0.0283,0.8120,0.0119,0.0491,1.00826e-13,1.51239e-13,True,0.5794,small
Industry,Qwen,2nd Round vs 1st Round,F1,1500,0.6910,0.0260,0.6058,0.0093,0.0852,1.20007e-46,2.88016e-46,True,0.5950,small
Industry,Qwen,3rd Round vs 2nd Round,Precision,1500,0.7041,0.0153,0.6474,0.0258,0.0567,1.37581e-22,2.35854e-22,True,0.5512,negligible
Industry,Qwen,3rd Round vs 2nd Round,Recall,1500,0.8943,0.0043,0.8611,0.0283,0.0332,5.57423e-06,6.08098e-06,True,0.5313,negligible
Industry,Qwen,3rd Round vs 2nd Round,F1,1500,0.7422,0.0135,0.6910,0.0260,0.0511,1.27468e-23,2.54936e-23,True,0.5538,negligible
Industry,Qwen,4th Round vs 3rd Round,Precision,1500,0.7348,0.0222,0.7041,0.0153,0.0307,1.36067e-10,1.81422e-10,True,0.5330,negligible
Industry,Qwen,4th Round vs 3rd Round,Recall,1500,0.8979,0.0135,0.8943,0.0043,0.0036,0.282021,0.282021,False,0.5126,negligible
Industry,Qwen,4th Round vs 3rd Round,F1,1500,0.7673,0.0202,0.7422,0.0135,0.0252,3.96843e-10,4.76212e-10,True,0.5294,negligible
PAGED,Gemini,1st Round vs No Refinement,Precision,400,0.8561,,0.4128,0.0028,0.4433,1.23022e-45,1.47626e-44,True,0.7621,large
PAGED,Gemini,1st Round vs No Refinement,Recall,400,0.8474,,0.4668,0.0027,0.3806,1.20476e-35,4.81902e-35,True,0.6888,medium
PAGED,Gemini,1st Round vs No Refinement,F1,400,0.8308,,0.4270,0.0024,0.4038,5.09879e-44,3.05927e-43,True,0.7327,large
PAGED,Gemini,2nd Round vs 1st Round,Precision,400,0.9416,,0.8561,,0.0856,2.13533e-19,5.1248e-19,True,0.6224,small
PAGED,Gemini,2nd Round vs 1st Round,Recall,400,0.9130,,0.8474,,0.0656,1.06132e-13,2.12264e-13,True,0.5814,small
PAGED,Gemini,2nd Round vs 1st Round,F1,400,0.9112,,0.8308,,0.0805,4.52987e-22,1.35896e-21,True,0.6053,small
PAGED,Gemini,3rd Round vs 2nd Round,Precision,400,0.9590,,0.9416,,0.0174,3.91885e-06,6.71803e-06,True,0.5405,negligible
PAGED,Gemini,3rd Round vs 2nd Round,Recall,400,0.9103,,0.9130,,-0.0028,0.768492,0.768492,False,0.5071,negligible
PAGED,Gemini,3rd Round vs 2nd Round,F1,400,0.9204,,0.9112,,0.0092,0.00312251,0.00468377,True,0.5258,negligible
PAGED,Gemini,4th Round vs 3rd Round,Precision,400,0.9603,,0.9590,,0.0012,0.309865,0.338035,False,0.5088,negligible
PAGED,Gemini,4th Round vs 3rd Round,Recall,400,0.9152,,0.9103,,0.0049,0.0992482,0.119098,False,0.5148,negligible
PAGED,Gemini,4th Round vs 3rd Round,F1,400,0.9240,,0.9204,,0.0036,0.0329685,0.0439579,True,0.5136,negligible
PAGED,Qwen,1st Round vs No Refinement,Precision,2000,0.7206,0.0105,0.3849,0.0022,0.3357,8.83676e-167,1.06041e-165,True,0.7106,large
PAGED,Qwen,1st Round vs No Refinement,Recall,2000,0.8086,0.0063,0.4715,0.0028,0.3371,2.91694e-125,1.16678e-124,True,0.6664,medium
PAGED,Qwen,1st Round vs No Refinement,F1,2000,0.7353,0.0062,0.4097,0.0019,0.3255,9.6723e-164,5.80338e-163,True,0.6958,medium
PAGED,Qwen,2nd Round vs 1st Round,Precision,2000,0.8060,0.0100,0.7206,0.0105,0.0854,3.66173e-49,1.09852e-48,True,0.6008,small
PAGED,Qwen,2nd Round vs 1st Round,Recall,2000,0.8562,0.0094,0.8086,0.0063,0.0476,8.94086e-13,1.78817e-12,True,0.5529,negligible
PAGED,Qwen,2nd Round vs 1st Round,F1,2000,0.8064,0.0081,0.7353,0.0062,0.0712,7.33786e-47,1.76109e-46,True,0.5876,small
PAGED,Qwen,3rd Round vs 2nd Round,Precision,2000,0.8392,0.0083,0.8060,0.0100,0.0331,6.60421e-12,1.13215e-11,True,0.5291,negligible
PAGED,Qwen,3rd Round vs 2nd Round,Recall,2000,0.8698,0.0148,0.8562,0.0094,0.0136,0.0184849,0.0201653,True,0.5137,negligible
PAGED,Qwen,3rd Round vs 2nd Round,F1,2000,0.8336,0.0091,0.8064,0.0081,0.0272,7.58989e-11,1.13848e-10,True,0.5277,negligible
PAGED,Qwen,4th Round vs 3rd Round,Precision,2000,0.8589,0.0062,0.8392,0.0083,0.0197,3.97254e-06,5.29671e-06,True,0.5219,negligible
PAGED,Qwen,4th Round vs 3rd Round,Recall,2000,0.8750,0.0048,0.8698,0.0148,0.0051,0.366796,0.366796,False,0.5060,negligible
PAGED,Qwen,4th Round vs 3rd Round,F1,2000,0.8496,0.0045,0.8336,0.0091,0.0159,1.7193e-05,2.06316e-05,True,0.5207,negligible
