sample_id,dataset,case,band,model_run
D001,PAGED,12,small,gemini-1
D002,PAGED,48,small,gemini-1
D003,PAGED,166,small,gemini-1
D004,PAGED,339,small,gemini-1
D005,PAGED,394,small,gemini-1
D006,PAGED,85,medium,gemini-1
D007,PAGED,147,medium,gemini-1
D008,PAGED,357,medium,gemini-1
D009,PAGED,370,medium,gemini-1
D010,PAGED,44,large,gemini-1
D011,PAGED,74,large,gemini-1
D012,PAGED,193,large,gemini-1
D013,PAGED,214,large,gemini-1
D014,PAGED,307,small,qwen-2
D015,PAGED,363,small,qwen-3
D016,PAGED,126,small,qwen-4
D017,PAGED,343,small,qwen-5
D018,PAGED,80,medium,qwen-1
D019,PAGED,272,medium,qwen-3
D020,PAGED,71,medium,qwen-2
D021,PAGED,90,medium,qwen-3
D022,PAGED,289,large,qwen-1
D023,PAGED,2,large,qwen-4
D024,PAGED,67,large,qwen-3
D025,PAGED,68,large,qwen-3
D026,Industry,77,small,gemini-1
D027,Industry,106,small,gemini-1
D028,Industry,220,small,gemini-1
D029,Industry,68,medium,gemini-1
D030,Industry,57,medium,gemini-1
D031,Industry,254,medium,gemini-1
D032,Industry,137,large,gemini-1
D033,Industry,194,large,gemini-1
D034,Industry,5,small,qwen-4
D035,Industry,230,small,qwen-4
D036,Industry,200,medium,qwen-1
D037,Industry,15,medium,qwen-4
D038,Industry,167,medium,qwen-5
D039,Industry,72,large,qwen-3
D040,Industry,41,large,qwen-5
D041,PAGED,335,small,gemini-1
D042,PAGED,271,small,gemini-1
D043,PAGED,66,medium,gemini-1
D044,PAGED,269,medium,gemini-1
D045,PAGED,396,medium,gemini-1
D046,PAGED,60,large,gemini-1
D047,PAGED,112,large,gemini-1
D048,PAGED,88,small,qwen-2
D049,PAGED,195,small,qwen-2
D050,PAGED,162,medium,qwen-1
D051,PAGED,314,medium,qwen-3
D052,PAGED,341,medium,qwen-4
D053,PAGED,316,large,qwen-2
D054,PAGED,136,large,qwen-1
D055,PAGED,200,large,qwen-3
D056,Industry,93,small,gemini-1
D057,Industry,103,small,gemini-1
D058,Industry,56,medium,gemini-1
D059,Industry,151,medium,gemini-1
D060,Industry,63,large,gemini-1
D061,Industry,114,large,gemini-1
D062,Industry,74,large,gemini-1
D063,Industry,31,small,qwen-1
D064,Industry,189,small,qwen-2
D065,Industry,179,small,qwen-4
D066,Industry,197,medium,qwen-3
D067,Industry,183,medium,qwen-4
D068,Industry,199,large,qwen-3
D069,Industry,193,large,qwen-1
D070,Industry,221,large,qwen-5
