comparison,dataset,llm,metric,n_diagrams,n_runs,rho,rho_sd,p_max
AbsCon vs LADEX,Industry,Gemini,Recall,300,1,0.9338,0.0000,5.124e-135
AbsCon vs LADEX,Industry,Gemini,Precision,300,1,0.9071,0.0000,4.889e-114
AbsCon vs LADEX,Industry,Qwen,Recall,300,1,0.9338,0.0000,5.124e-135
AbsCon vs LADEX,Industry,Qwen,Precision,300,1,0.9071,0.0000,4.889e-114
AbsCon vs LADEX,PAGED,Gemini,Recall,400,1,0.9079,0.0000,2.547e-152
AbsCon vs LADEX,PAGED,Gemini,Precision,400,1,0.9135,0.0000,1.509e-157
AbsCon vs LADEX,PAGED,Qwen,Recall,400,1,0.9079,0.0000,2.547e-152
AbsCon vs LADEX,PAGED,Qwen,Precision,400,1,0.9135,0.0000,1.509e-157
Spec-alignment vs AbsCon,Industry,Gemini,Recall,300,5,0.9099,0.0083,1.135e-109
Spec-alignment vs AbsCon,Industry,Gemini,Precision,300,5,0.8490,0.0082,4.658e-80
Spec-alignment vs AbsCon,Industry,Qwen,Recall,300,5,0.9068,0.0066,2.142e-109
Spec-alignment vs AbsCon,Industry,Qwen,Precision,300,5,0.8359,0.0031,7.419e-78
Spec-alignment vs AbsCon,PAGED,Gemini,Recall,400,5,0.9091,0.0032,2.871e-149
Spec-alignment vs AbsCon,PAGED,Gemini,Precision,400,5,0.8942,0.0043,5.255e-136
Spec-alignment vs AbsCon,PAGED,Qwen,Recall,400,5,0.9090,0.0056,2.934e-145
Spec-alignment vs AbsCon,PAGED,Qwen,Precision,400,5,0.8925,0.0058,1.293e-133
Spec-alignment vs LADEX,Industry,Gemini,Recall,300,5,0.9087,0.0090,2.346e-110
Spec-alignment vs LADEX,Industry,Gemini,Precision,300,5,0.8869,0.0043,1.613e-98
Spec-alignment vs LADEX,Industry,Qwen,Recall,300,5,0.9124,0.0061,7.009e-111
Spec-alignment vs LADEX,Industry,Qwen,Precision,300,5,0.8841,0.0033,2.537e-98
Spec-alignment vs LADEX,PAGED,Gemini,Recall,400,5,0.9339,0.0030,2.761e-176
Spec-alignment vs LADEX,PAGED,Gemini,Precision,400,5,0.9563,0.0051,6.340e-199
Spec-alignment vs LADEX,PAGED,Qwen,Recall,400,5,0.9384,0.0088,1.068e-171
Spec-alignment vs LADEX,PAGED,Qwen,Precision,400,5,0.9473,0.0062,1.162e-184
